rank,file,score,dict_count,key_counts,role_token_counts,state_token_counts,example_count
70,21-gap-a-answer-pair-generator/artifacts/json/schlafli_534_shadow_test_018.v1.json,40,19,"{""reverse_partner"": 1, ""shared_B"": 1}","{""IW"": 9, ""TI"": 9, ""WX"": 9, ""XY"": 9, ""YZ"": 9, ""ZT"": 9, ""reverse_partner"": 1, ""shared_B"": 2}",{},8
71,18-g900-kernel-admission/artifacts/json/lift_q_context_rules_001.v1.json,40,140,"{""reverse_partner"": 1, ""shared_B"": 1}","{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1, ""reverse_partner"": 1, ""shared_B"": 1}",{},1
72,21-gap-a-answer-pair-generator/source/project18_native_chain/json/lift_q_context_rules_001.v1.json,40,140,"{""reverse_partner"": 1, ""shared_B"": 1}","{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1, ""reverse_partner"": 1, ""shared_B"": 1}",{},1
73,21-gap-a-answer-pair-generator/artifacts/json/triangle_frame_synthetic_reduction_audit_007.v1.json,40,15,{},"{""IW"": 7, ""TI"": 7, ""WX"": 7, ""XY"": 7, ""YZ"": 7, ""ZT"": 7}",{},3
74,21-gap-a-answer-pair-generator/artifacts/json/admission_blind_row_pair_selector_002.v1.json,40,3,{},"{""IW"": 3, ""TI"": 3, ""WX"": 3, ""XY"": 3, ""YZ"": 3, ""ZT"": 3}",{},3
75,16-fifteen-thalion-ring/support/artifacts/json/314_g900_edge_law_source_derivation_rule_candidate.json,40,14,{},"{""IW"": 2, ""TI"": 2, ""WX"": 2, ""XY"": 2, ""YZ"": 2, ""ZT"": 2}",{},2
76,16-fifteen-thalion-ring/support/artifacts/json/317_false_edge_source_derivation_and_export_overclaim_nulls.json,40,30,{},"{""IW"": 1, ""TI"": 2, ""WX"": 2, ""XY"": 2, ""YZ"": 2, ""ZT"": 2}",{},1
77,16-fifteen-thalion-ring/support/artifacts/json/310_false_edge_law_completion_and_export_overclaim_nulls.json,40,26,{},"{""IW"": 1, ""TI"": 2, ""WX"": 2, ""XY"": 2, ""YZ"": 2, ""ZT"": 2}",{},1
78,16-fifteen-thalion-ring/support/artifacts/json/295_false_source_recovery_and_export_overclaim_nulls.json,40,23,{},"{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
79,16-fifteen-thalion-ring/support/artifacts/json/303_false_constructed_source_recovery_and_export_overclaim_nulls.json,40,24,{},"{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
80,16-fifteen-thalion-ring/support/artifacts/json/299_g900_vertex_register_and_edge_law_construction_rule_candidate.json,40,16,{},"{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
81,21-gap-a-answer-pair-generator/artifacts/json/project18_pair_universe_rebuild_001.v1.json,40,11,{},"{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
82,18-g900-kernel-admission/artifacts/json/connectedness_certificate.json,25,903,"{""slot"": 900}",{},{},0
83,18-g900-kernel-admission/artifacts/json/metric_certificate.json,25,905,"{""slot"": 900}",{},{},0
84,16-fifteen-thalion-ring/support/artifacts/json/199_line_graph_transport_generator_candidate.json,25,96,"{""fiber"": 60}",{},{},0
85,16-fifteen-thalion-ring/support/artifacts/json/205_family_coherence_data_generation.json,25,226,"{""fiber"": 30}",{},{},0
86,16-fifteen-thalion-ring/support/artifacts/json/198_incidence_column_noncopying_test.json,25,34,"{""B"": 1, ""fiber"": 15}",{},{},0
87,16-fifteen-thalion-ring/support/artifacts/json/197_petersen_tri_fiber_generator_candidate.json,25,33,"{""fiber"": 15}",{},{},0
